iter	MAE
0	5.296160812
1	4.794148247
2	4.329249515
3	3.924306279
4	3.544918531
5	3.214348176
6	2.949253414
7	2.680435812
8	2.429672484
9	2.204811281
10	2.018976744
11	1.845109109
12	1.680294737
13	1.535729389
14	1.409038771
15	1.297444017
16	1.191926172
17	1.095823876
18	1.017733956
19	0.9447874763
20	0.8779734805
21	0.8139664665
22	0.7616177461
23	0.7140826035
24	0.6696527074
25	0.6297248642
26	0.5970232287
27	0.5681912373
28	0.5419239481
29	0.5184156464
30	0.4959663358
31	0.4778762379
32	0.4678283396
33	0.4540459452
34	0.4396779494
35	0.4283237765
36	0.4188093868
37	0.4101625272
38	0.4027444584
39	0.3919855929
40	0.385641105
41	0.3760909984
42	0.3681076112
43	0.3606036751
44	0.3544755621
45	0.3478579196
46	0.3425954136
47	0.3370241534
48	0.3323988128
49	0.3277087718
50	0.3237469163
51	0.3193566421
52	0.3149173918
53	0.3119455804
54	0.3096306372
55	0.306804133
56	0.3041424235
57	0.3010545469
58	0.299746867
59	0.2980664398
60	0.2954342989
61	0.2933267978
62	0.2915511345
63	0.2894825541
64	0.2869622986
65	0.2855028537
66	0.2842066743
67	0.2826554135
68	0.2808407066
69	0.2796491344
70	0.2785266342
71	0.2759563238
72	0.2745620337
73	0.2732748773
74	0.2713513968
75	0.2697757729
76	0.2680020756
77	0.2663987152
78	0.2651809256
79	0.2638168324
80	0.2624893817
81	0.261031756
82	0.2597653543
83	0.2582614456
84	0.2564123638
85	0.2548186986
86	0.2532332153
87	0.2517285301
88	0.2506958051
89	0.2496243416
90	0.2481482256
91	0.2474269168
92	0.2458934867
93	0.2440963798
94	0.2432594009
95	0.2420160691
96	0.2409036604
97	0.2399376641
98	0.2389509404
99	0.2370747858
100	0.236551489
101	0.2352265646
102	0.2341454114
103	0.2329126172
104	0.2320074522
105	0.2313629785
106	0.2305678565
107	0.2297403814
108	0.2285253288
109	0.2277795339
110	0.2260694599
111	0.2251835908
112	0.2241139556
113	0.2232954527
114	0.2219410411
115	0.2199358634
116	0.2191439031
117	0.2176838691
118	0.2168524608
119	0.2162540933
120	0.2145762155
121	0.2138856871
122	0.2127128247
123	0.2114253974
124	0.2108346946
125	0.2098700094
126	0.2092838693
127	0.2081110715
128	0.2069265991
129	0.2062557316
130	0.2052780535
131	0.2039671212
132	0.2035344473
133	0.202779337
134	0.2014042395
135	0.2003662903
136	0.1996332992
137	0.1988245504
138	0.1980115605
139	0.1969498261
140	0.1960221443
141	0.195318161
142	0.1947149673
143	0.1935666846
144	0.1930652501
145	0.192612242
146	0.1918011738
147	0.1907492992
148	0.1899861063
149	0.1891708849
150	0.1882992374
151	0.1873641253
152	0.1866475261
153	0.1859761337
154	0.1850632986
155	0.1842999236
156	0.1837073888
157	0.1819873723
158	0.1813080912
159	0.1807839969
160	0.179458351
161	0.1789114219
162	0.1782622813
163	0.1772727182
164	0.1766669295
165	0.1757309358
166	0.1749245139
167	0.1744382432
168	0.1738326124
169	0.1732483218
170	0.1727471638
171	0.1720430653
172	0.1712779311
173	0.1703916111
174	0.1692508283
175	0.1685421353
176	0.168195645
177	0.1674699568
178	0.1669446279
179	0.1664001443
180	0.1658018534
181	0.1652624495
182	0.1642233798
183	0.1635990296
184	0.1631089022
185	0.1627283834
186	0.1618066161
187	0.1614571931
188	0.1610548616
189	0.1605366798
190	0.1597772644
191	0.1591456504
192	0.1587348159
193	0.1583380541
194	0.1576059896
195	0.156949084
196	0.1559631986
197	0.1556922111
198	0.1551200795
199	0.1542809544
200	0.1540316631
201	0.153588042
202	0.1533494127
203	0.1528587483
204	0.1523009043
205	0.151998533
206	0.1516249915
207	0.151330451
208	0.1507469137
209	0.1501917357
210	0.1497954991
211	0.1495208192
212	0.1490388506
213	0.148913095
214	0.1483500835
215	0.1481265281
216	0.1475894601
217	0.147073956
218	0.1467120319
219	0.146369166
220	0.1460316209
221	0.1457498248
222	0.1455369444
223	0.1448434817
224	0.1444362851
225	0.1441769019
226	0.1438803862
227	0.1436182336
228	0.143412582
229	0.1429892618
230	0.1424547693
231	0.1421739365
232	0.1418953499
233	0.1415312394
234	0.1412336219
235	0.1405792086
236	0.1396107734
237	0.138871821
238	0.1387289418
239	0.1380786703
240	0.1375253909
241	0.1373431512
242	0.1368386904
243	0.1366105592
244	0.136031452
245	0.135628022
246	0.1352855846
247	0.1347899904
248	0.1344369411
249	0.1340445655
250	0.1335548881
251	0.1328196631
252	0.1322888143
253	0.1317146834
254	0.1313612559
255	0.1308776492
256	0.1306761531
257	0.1302739798
258	0.1299374272
259	0.1293995028
260	0.1287597148
261	0.128309868
262	0.1280562607
263	0.1278379791
264	0.1276226987
265	0.1274319973
266	0.1271427924
267	0.1266867612
268	0.1260202792
269	0.1256078639
270	0.1252816929
271	0.1249427045
272	0.1246082484
273	0.1243354196
274	0.1241121017
275	0.1236425531
276	0.1232609791
277	0.1228718792
278	0.122611558
279	0.1219722308
280	0.1216487458
281	0.1214278492
282	0.1210716202
283	0.1205915628
284	0.1202920604
285	0.1200616723
286	0.1198351539
287	0.1194326251
288	0.1192852601
289	0.1191036614
290	0.1187856552
291	0.1184557261
292	0.1180832556
293	0.1176948512
294	0.1174035682
295	0.117204223
296	0.1169449391
297	0.1166374837
298	0.1165171158
299	0.1163195885
300	0.1160126086
301	0.1156976355
302	0.1155001635
303	0.1151487893
304	0.1148325745
305	0.1147361456
306	0.1146537762
307	0.1144026199
308	0.1140557714
309	0.1136738999
310	0.1133860003
311	0.1132796375
312	0.1130680124
313	0.1128750877
314	0.1126744757
315	0.1126159759
316	0.1125406755
317	0.1120830044
318	0.1118011503
319	0.1112924016
320	0.1112280174
321	0.1108993036
322	0.1107213289
323	0.1105235208
324	0.1101291004
325	0.1098587304
326	0.1097663015
327	0.1095833747
328	0.1092846788
329	0.1089367833
