,MAE,MSE,MAPE,R^2
RNN,1.8853019481236728,4.66004073232864,1.9174415805619953,0.9096539700825993
lstm,2.498077576110248,8.37212164152235,2.5257880277400147,0.8376864075350847
GRU,3.0299070718057877,11.50563935087973,3.0775437188774943,0.7769356757330388
CNN,0.6253696446450244,0.7244004014396117,0.6570785905771225,0.9859557664621664
CNN-LSTM,3.330814870510657,13.655075663435342,3.3905592791632597,0.7352637143588605
SARIMA,2.906485228134517,10.556250614179941,2.783773683271434,0.1228106274331413
FB Prophet,0.6906345628519318,1.1838734727350941,0.6654420089155132,0.9016240456292237
hpt FB Prophet,0.1546977243155161,0.03915176442732957,0.14991487055040656,0.9967466183848684
BiLSTM,0.07110580607288486,0.006464665849946982,49954900140604.23,0.8670216436752535
