,MAE,MSE,MAPE,R^2
RNN,2.1255933132674345,5.956007587638558,2.5312666744831804,0.8708980022616585
lstm,2.014814631995859,5.436958381246553,2.398470588444989,0.882148876019574
GRU,1.905698435773036,4.97937207955417,2.261155271440249,0.8920674842175881
CNN,0.5885951082451398,0.5783783562130043,0.7239512986720437,0.9874631118014875
CNN-LSTM,2.8708469185052916,10.041198602027828,3.4495974579233133,0.7823476917827084
SARIMA,4.17467306362393,24.015332287686036,4.643371320914195,-4.991936396319726
FB Prophet,0.3987342838821825,0.3467591305937385,44.61079396746536,0.9134819943163482
hpt FB Prophet,0.1500831376756079,0.04419325678665932,16.820916055765068,0.9889735781858131
BiLSTM,0.04839806862018614,0.003312522881607686,972.4586830571544,0.944368719245999
