,MAE,MSE,MAPE,R^2
SARIMA,1.0314036136344475e+27,3.8397214887977536e+55,1.856003408306715e+29,-4.536374745636812e+58
FB Prophet,0.06239400675735782,0.004446384326824727,10.8454398682969,-4.253106411089872
hpt FB Prophet,0.08657699002566248,0.008478899632496706,15.145034551741762,-9.017254187800614
BiLSTM,0.01720962777535892,0.0004177814681726794,2.70113126482629,0.852573589879374
