iter	MAE
0	4.410559005
1	3.963244765
2	3.577222095
3	3.23012612
4	2.914132559
5	2.631355335
6	2.377804344
7	2.185278019
8	1.994480452
9	1.813771239
10	1.66989248
11	1.518971418
12	1.407429466
13	1.298013515
14	1.187116898
15	1.08111513
16	1.012326204
17	0.9224020798
18	0.8416673895
19	0.7700616931
20	0.7040309433
21	0.6533759737
22	0.6009234663
23	0.5562751664
24	0.5125623772
25	0.4756252356
26	0.4417178395
27	0.410495817
28	0.3839253041
29	0.3611188664
30	0.3389426272
31	0.3201624745
32	0.3030993778
33	0.2876805024
34	0.2733567039
35	0.2615191487
36	0.2510046004
37	0.242618099
38	0.2349994812
39	0.2281673024
40	0.2214136938
41	0.2147673002
42	0.2093758154
43	0.2049878701
44	0.2009855751
45	0.1968658429
46	0.1933096753
47	0.1895079934
48	0.1871911208
49	0.1846469486
50	0.182731133
51	0.1798764333
52	0.1774777211
53	0.1753562449
54	0.1733391235
55	0.1715776428
56	0.169510273
57	0.1676968576
58	0.1661893707
59	0.1652930643
60	0.1638520367
61	0.1626576522
62	0.1605061495
63	0.15879086
64	0.1572418149
65	0.1563030394
66	0.1549600408
67	0.1540476934
68	0.1533062564
69	0.1524709472
70	0.1517005238
71	0.1508534143
72	0.1497613091
73	0.1488621767
74	0.1479892633
75	0.1472326095
76	0.1463688324
77	0.1451844677
78	0.1438957321
79	0.1428075937
80	0.1417829539
81	0.1410414193
82	0.1404234225
83	0.1398980256
84	0.1389906391
85	0.1381271388
86	0.136610446
87	0.1355806393
88	0.1347314422
89	0.1337847186
90	0.1329004954
91	0.1320798263
92	0.1315241907
93	0.1304070124
94	0.1294048863
95	0.1285964456
96	0.1281768935
97	0.1279311243
98	0.1274173846
99	0.1267834634
100	0.1261336429
101	0.1254503846
102	0.1247785286
103	0.1240067906
104	0.1232820466
105	0.1224490975
106	0.1218613473
107	0.121370266
108	0.121068795
109	0.1206789087
110	0.1201751208
111	0.1194817995
112	0.1186705566
113	0.117995722
114	0.1172784045
115	0.1168025287
116	0.1162317915
117	0.1159246992
118	0.1155236592
119	0.1150595242
120	0.1142964588
121	0.1136948941
122	0.1134249399
123	0.1131352374
124	0.1128545578
125	0.1122053078
126	0.1113310186
127	0.1105830173
128	0.1102382102
129	0.1095810241
130	0.1088193226
131	0.1083316974
