,Deseasonalized_Day_high,Deseasonalized_Day_low,Deseasonalized_Open_price,EMA_50,EMA_100,EMA_200,RSI,MACD,Signal_Line,MACD_Histogram,SMA,Upper Band,Lower Band
1061,0.3463490932994908,0.3474572007058243,0.34710988536539755,0.4118975032452674,0.39914783772272155,0.3484741991956617,0.2993797794076872,0.034981331742075794,0.005593005078861624,0.36358178645197015,0.3801827514710441,0.43345398736307983,0.33714962822900985
1062,0.34811471794391835,0.34992841169207844,0.3500255581623577,0.4099793805264862,0.3986180412751241,0.34883716979993773,0.3108961146180441,0.0568363652930976,0.0,0.4441958121796814,0.3764490555073494,0.42822017993183126,0.3350610931760567
1063,0.36328288680025267,0.3563058440543201,0.3511454132222456,0.4081364783064809,0.39809873584629063,0.34919652875640983,0.3433939663202789,0.07827727634395137,0.000626149039546775,0.5076813834102202,0.3723971355890998,0.4209072272082648,0.33442236542752823
1064,0.37183968766969544,0.35200943522586625,0.36210876803899517,0.4076104124925455,0.39823444559544496,0.34988720822669395,0.43340608492218774,0.1350468635333757,0.014631918572909741,0.644261508894409,0.36984739086005414,0.41321470955920914,0.3371012015596584
1065,0.4190637180238368,0.3818689729067808,0.3811854461882711,0.4088769271697199,0.39928540506854837,0.35104782376452803,0.5475538733161289,0.23406021981823305,0.04939070502766474,0.8561097938744845,0.36912397491367344,0.40966943595720995,0.33921960556965924
1066,0.41293190172005634,0.39902508816241156,0.4220159829553265,0.4097577418573426,0.4001414758493915,0.35210646890834774,0.5110633743323001,0.3042408457308513,0.0938929207157046,0.9555714182115433,0.36907060816353043,0.4094532377106952,0.3393306887733023
1067,0.40632016476110033,0.40281233696862406,0.41649461941560384,0.4099132808119297,0.4006227685278798,0.352968712864866,0.519781375646406,0.3408011669053348,0.1381919850536727,0.9534976346615616,0.3681317486702782,0.40608802486326745,0.34084806518708666
1068,0.3904322615753433,0.39054613381465586,0.40044283139694237,0.40958045097899465,0.4008446970461881,0.35369260499241006,0.49577787824411906,0.35661697820021865,0.17739364126419538,0.9014629269497549,0.3673608956126597,0.4039346628054372,0.341486217205178
1069,0.39713807811328694,0.3935148191618474,0.3880824246520107,0.4098689547972869,0.40137734365755673,0.35457297474309346,0.5604231508964816,0.3874548909996355,0.21609096102475767,0.8963146243014342,0.3672343966493581,0.40349697841134,0.34167498056039225
1070,0.3923940558892447,0.39208573078323505,0.40291646583429586,0.4096623198125138,0.40164880328430597,0.3553143936883614,0.5305566156026793,0.39821079569811163,0.249607526346593,0.84342911146711,0.367222537371549,0.4034666304235279,0.34168202656838087
