iter	RMSE
0	2.143429118
1	2.067286849
2	1.991039665
3	1.919473167
4	1.844135173
5	1.775251998
6	1.712576747
7	1.65176956
8	1.590871546
9	1.53772417
10	1.483515414
11	1.427805814
12	1.376254036
13	1.327939373
14	1.282406603
15	1.23691045
16	1.199569891
17	1.160635017
18	1.120571867
19	1.085281255
20	1.047766252
21	1.011966032
22	0.9795878424
23	0.9482783257
24	0.9200375892
25	0.8899605503
26	0.8619251382
27	0.8341530388
28	0.8078935489
29	0.7824101044
30	0.7595323938
31	0.736699561
32	0.7158551028
33	0.6959187617
34	0.6758044076
35	0.6570733004
36	0.6395573207
37	0.6214812903
38	0.6055922414
39	0.5899153934
40	0.5745072883
41	0.5587480596
42	0.544586142
43	0.5313479412
44	0.5182714546
45	0.5058852522
46	0.4939209981
47	0.4818309628
48	0.4712393129
49	0.4620005751
50	0.4522263147
51	0.4421534424
52	0.433274804
53	0.4243612089
54	0.4158875055
55	0.4073568934
56	0.3994632231
57	0.3924677137
58	0.3854351806
59	0.379592582
60	0.3729876291
61	0.3670674476
62	0.3616201923
63	0.3551423405
64	0.3502224715
65	0.3454114738
66	0.3404171815
67	0.3356090309
68	0.3310995211
69	0.327120523
70	0.3231432028
71	0.3190288135
72	0.315740118
73	0.312213681
74	0.3086426054
75	0.3060456164
76	0.3030987231
77	0.3005758542
78	0.2976004446
79	0.2952135334
80	0.2917519667
81	0.2888204161
82	0.2865416011
83	0.2836492391
84	0.2813775461
85	0.2795802267
86	0.2770024599
87	0.2747257696
88	0.2727071144
89	0.2706728194
90	0.2694846296
91	0.2672553913
92	0.2654681099
93	0.2638152802
94	0.2621828852
95	0.2604181985
96	0.2587794746
97	0.2571035204
98	0.2561986138
99	0.2546892793
100	0.2535507714
101	0.2518676312
102	0.2505858211
103	0.2492475218
104	0.2477241547
105	0.2465789246
106	0.2455019941
107	0.2442277021
108	0.2429236696
109	0.2420022249
110	0.2408681786
111	0.2395627411
112	0.2381331335
113	0.236952246
114	0.2359279246
115	0.2347887703
116	0.2337250975
117	0.2326874233
118	0.2318068717
119	0.2306090304
120	0.2296126598
121	0.228723831
122	0.2276489289
123	0.2268525167
124	0.2258534809
125	0.2252062826
126	0.2245017251
127	0.2236874504
128	0.22291944
129	0.221963323
130	0.2210924925
131	0.220235418
132	0.2193985201
133	0.2188515845
134	0.2183605789
135	0.2174103243
136	0.2163666768
137	0.2154784321
138	0.2146238068
139	0.2140124428
140	0.2134843973
141	0.2128773212
142	0.2122170118
143	0.2116439459
144	0.2110827155
145	0.2100813329
146	0.2094355482
147	0.2085553937
148	0.2079845132
149	0.2077627361
150	0.2074058862
151	0.2066852957
152	0.2062316375
153	0.2049998117
154	0.2043381868
155	0.2037010543
156	0.2027969838
157	0.2024717296
158	0.2021619619
159	0.2016930311
160	0.2009078932
161	0.2007433475
162	0.2001770247
163	0.199428649
164	0.1989399895
165	0.1983215669
166	0.1980828683
167	0.197921758
168	0.1972371082
169	0.1970982903
170	0.1969176769
171	0.196606832
172	0.1962314212
173	0.1958960827
174	0.1957822843
175	0.1955460315
176	0.1943321754
177	0.1935377204
178	0.1931444436
179	0.1923829704
180	0.192072709
181	0.1917039799
182	0.190920575
183	0.1908006036
184	0.190711153
185	0.18993093
186	0.189141233
187	0.1885583528
188	0.1880247623
189	0.1875312726
190	0.187294138
191	0.1870968142
192	0.186256869
193	0.1855938623
194	0.1852255995
195	0.1846042029
196	0.1837848936
197	0.1831698135
198	0.1827690079
199	0.1824673018
200	0.1823566924
201	0.1817956398
202	0.1814346375
203	0.1809068333
204	0.1805698879
205	0.1804314568
206	0.1801075859
207	0.1796060288
208	0.1793595728
209	0.1792766453
210	0.1789565854
211	0.1783264709
212	0.1778283031
213	0.1773212595
214	0.176894187
215	0.1765468144
216	0.176103326
217	0.1757561511
218	0.175186963
219	0.1746434022
220	0.1740235263
221	0.1734352802
222	0.1730889045
223	0.1728226831
224	0.1722681549
225	0.1718773184
226	0.1711717013
227	0.1706963969
228	0.1702749557
229	0.1698709312
230	0.1695824498
231	0.1691463203
232	0.1685706329
233	0.1684316656
234	0.1681653876
235	0.1677348657
236	0.1676432669
237	0.1673286675
238	0.166992505
239	0.1666498951
240	0.166078883
241	0.1657591135
242	0.1651627742
243	0.1648437043
244	0.164385775
245	0.1640898417
246	0.163760941
247	0.163380036
248	0.1630810926
249	0.1627943449
250	0.1622092264
251	0.161816364
252	0.1612148803
253	0.1608687602
254	0.1605394897
255	0.1603812754
256	0.1598819689
257	0.1597309711
258	0.1596186619
259	0.1593545282
260	0.1590541121
261	0.1587007088
262	0.1582799811
263	0.1582124846
264	0.1577528107
265	0.1572381071
266	0.1571238005
267	0.1566224276
268	0.1560260237
269	0.1556342785
270	0.1553194328
271	0.1551018815
272	0.1549701974
273	0.1546940727
274	0.1542738839
275	0.1539393387
276	0.1537795192
277	0.1533187644
278	0.1530778984
279	0.1527746879
280	0.1525005408
281	0.152126273
282	0.1519217071
283	0.15162867
284	0.1513823488
285	0.1512688807
286	0.1508699892
287	0.1505643338
288	0.1500460395
289	0.1497687264
290	0.1494359706
291	0.149147955
292	0.1490527623
293	0.1486197305
294	0.1482249927
295	0.1479507888
296	0.147827072
297	0.1473545563
298	0.1470690093
299	0.1465502472
