iter	Passed	Remaining
404	7993	11743
405	8014	11726
406	8036	11708
407	8057	11691
408	8078	11674
409	8099	11655
410	8122	11639
411	8142	11620
412	8163	11602
413	8184	11584
414	8206	11567
415	8226	11548
416	8247	11530
417	8269	11513
418	8290	11495
419	8311	11477
420	8331	11458
421	8353	11441
422	8374	11423
423	8395	11405
424	8416	11386
425	8438	11369
426	8459	11351
427	8478	11331
428	8498	11311
429	8521	11295
430	8541	11276
431	8563	11259
432	8584	11241
433	8606	11223
434	8628	11206
435	8650	11189
436	8671	11171
437	8692	11152
438	8712	11134
439	8734	11116
440	8754	11097
441	8776	11080
442	8797	11061
443	8819	11043
444	8839	11025
445	8861	11007
446	8882	10989
447	8904	10971
448	8926	10953
449	8946	10935
450	8967	10916
451	8986	10895
452	9008	10877
453	9029	10859
454	9051	10841
455	9073	10824
456	9094	10805
457	9115	10787
458	9136	10768
459	9157	10750
460	9179	10732
461	9200	10713
462	9220	10694
463	9241	10676
464	9263	10657
465	9284	10638
466	9304	10620
467	9325	10601
468	9347	10582
469	9367	10563
470	9388	10544
471	9409	10526
472	9431	10508
473	9452	10489
474	9472	10470
475	9495	10452
476	9516	10434
477	9537	10415
478	9558	10397
479	9579	10378
480	9600	10358
481	9620	10339
482	9641	10320
483	9663	10302
484	9684	10283
485	9706	10265
486	9727	10246
487	9747	10227
488	9769	10208
489	9790	10189
490	9811	10171
491	9833	10153
492	9854	10133
493	9874	10114
494	9895	10095
495	9916	10076
496	9937	10057
497	9958	10038
498	9980	10020
499	10001	10001
500	10023	9983
501	10044	9964
502	10066	9946
503	10087	9927
504	10109	9909
505	10130	9889
506	10151	9870
507	10172	9851
508	10193	9833
509	10214	9813
510	10234	9794
511	10256	9775
512	10278	9757
513	10299	9738
514	10320	9719
515	10342	9700
516	10362	9680
517	10383	9662
518	10405	9643
519	10426	9624
520	10446	9604
521	10467	9585
522	10489	9566
523	10510	9547
524	10530	9528
525	10552	9508
526	10573	9489
527	10594	9470
528	10615	9451
529	10637	9433
530	10658	9414
531	10679	9395
532	10699	9374
533	10719	9354
534	10739	9334
535	10758	9313
536	10777	9292
537	10796	9271
538	10815	9250
539	10836	9231
540	10857	9211
541	10877	9192
542	10898	9172
543	10919	9153
544	10940	9134
545	10961	9114
546	10981	9094
547	11004	9076
548	11024	9056
549	11045	9037
550	11069	9020
551	11091	9001
552	11112	8982
553	11133	8963
554	11154	8943
555	11174	8923
556	11195	8903
557	11215	8883
558	11233	8862
559	11253	8841
560	11272	8821
561	11298	8805
562	11333	8797
563	11358	8780
564	11379	8761
565	11401	8742
566	11422	8723
567	11443	8703
568	11464	8684
569	11486	8665
570	11507	8645
571	11528	8626
572	11550	8607
573	11570	8587
574	11590	8567
575	11611	8547
576	11632	8527
577	11653	8508
578	11673	8488
579	11694	8468
580	11716	8449
581	11737	8429
582	11757	8410
583	11779	8390
584	11800	8371
585	11820	8351
586	11842	8331
587	11863	8312
588	11885	8293
589	11905	8273
590	11926	8253
591	11947	8234
592	11969	8214
593	11990	8195
594	12010	8175
595	12032	8156
596	12052	8136
597	12074	8116
598	12096	8098
599	12118	8078
600	12140	8060
601	12161	8040
602	12183	8021
603	12206	8002
604	12226	7982
605	12247	7962
606	12268	7943
607	12288	7922
608	12307	7901
609	12328	7882
610	12349	7862
611	12371	7843
612	12392	7823
613	12414	7804
614	12435	7784
615	12456	7765
616	12477	7745
617	12499	7725
618	12519	7705
619	12540	7686
620	12562	7666
621	12583	7647
622	12603	7626
623	12624	7606
624	12645	7587
625	12665	7567
626	12687	7547
627	12708	7528
628	12730	7508
629	12750	7488
630	12769	7467
631	12790	7447
632	12812	7428
633	12832	7408
634	12854	7388
635	12875	7369
636	12897	7349
637	12915	7328
638	12934	7307
639	12953	7286
640	12973	7266
641	12994	7246
642	13014	7225
643	13034	7205
644	13054	7184
645	13077	7166
646	13097	7145
647	13116	7125
648	13136	7104
649	13157	7084
650	13178	7065
651	13199	7045
652	13219	7024
653	13239	7004
654	13261	6985
655	13281	6964
656	13301	6944
657	13321	6923
658	13342	6904
659	13363	6884
660	13384	6864
661	13406	6844
662	13427	6824
663	13448	6805
664	13470	6785
665	13489	6765
666	13509	6744
667	13528	6723
668	13549	6703
669	13569	6683
670	13589	6663
671	13610	6643
672	13630	6623
